Date,QQQ
2023-01-03,3000.0
2023-01-04,3014.2920416235825
2023-01-05,2967.1052338956288
2023-01-06,3049.0018875331743
2023-01-09,3068.73916857242
2023-01-10,3094.7142282264745
2023-01-11,3148.2536396991086
2023-01-12,3165.2677743097433
2023-01-13,3187.046625089278
2023-01-17,3193.5119470807135
2023-01-18,3151.996868703491
2023-01-19,3121.030602945468
2023-01-20,3206.4429422107705
2023-01-23,3277.675958099244
2023-01-24,3270.9844973199265
2023-01-25,3263.7252315406013
2023-01-26,3327.3594223207397
2023-01-27,3360.480678360179
2023-01-30,3292.536507017207
2023-01-31,3341.8786561737634
