Date,SPY
2023-01-03,3000.0
2023-01-04,3023.1601004246513
2023-01-05,2988.655862427022
2023-01-06,3057.1915213931316
2023-01-09,3055.4584374740184
2023-01-10,3076.8861977923966
2023-01-11,3115.8024856241636
2023-01-12,3127.1463752595287
2023-01-13,3139.2774668180964
2023-01-17,3133.527297683321
2023-01-18,3084.0550659522323
2023-01-19,3061.6035712272696
2023-01-20,3118.6383960486023
2023-01-23,3156.0578845070236
2023-01-24,3152.6700649546965
2023-01-25,3153.8517356211482
2023-01-26,3188.513909878645
2023-01-27,3195.8399704855074
2023-01-30,3155.742507862516
2023-01-31,3202.1422966857863
