Date,Open,High,Low,Close,Volume,Volume Weighted Average,Transactions,Mean,Cumulative Return,STDDEV,Median,SMA,EMA,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,Real Upper Band,Real Middle Band,Real Lower Band,Chaikin A/D,OBV
2024-12-09,10.65,12.58,10.63,11.51,1358534.0,11.6055,12388.0,0.0116461805007331,0.1131528046421663,0.0420105342464427,0.0101230606396023,11.096,11.0685,36.8513,41.09,64.754,40.4715,152.1437,20.0,100.0,11.7739,11.096,10.4181,-6651217.9468,5581667.0
2024-11-19,10.15,10.36,9.74,10.16,583245.0,10.1566,4469.0,0.0158709891564891,0.1140350877192983,0.1055525774902131,0.0191387278353007,9.968,10.0905,33.095,18.9097,51.3302,27.2593,71.2205,60.0,0.0,10.2878,9.968,9.6482,-4553115.7651,2899294.0
2024-11-14,9.89,10.28,9.72,10.14,391016.0,10.1029,3286.0,0.0136574134802887,0.0903225806451615,0.1052798044312361,0.0033554083885209,10.818,10.278,15.2841,30.5436,48.5391,39.575,-73.142,0.0,20.0,12.8381,10.818,8.7979,-4907210.1209,2119683.0
2024-11-12,11.5,11.5,10.33,10.33,486657.0,10.7536,4617.0,0.01049223318749,0.0573183213920165,0.1047808762371054,-0.0074054240918611,10.692,10.6105,49.532,64.0851,49.7211,48.4562,-6.4468,0.0,60.0,12.9268,10.692,8.4572,-4644924.1209,2186461.0
2024-11-07,9.45,10.048,9.44,9.76,177005.0,9.8977,2491.0,-0.0038649514745942,-0.041257367387033,0.0260804309851951,-0.0038024174137056,9.302,9.4966,60.027,37.9476,62.9566,28.9263,121.0358,40.0,100.0,9.9116,9.302,8.6924,-3995422.9213,2156428.0
2024-09-13,11.42,12.13,11.21,11.48,196915.0,11.6839,3084.0,-0.0113289162852821,-0.1169230769230768,0.0449377984157003,-0.004414125200642,10.844,11.2138,45.0325,32.3358,51.3176,41.6326,93.616,40.0,20.0,11.7255,10.844,9.9625,-2711810.8624,5673451.0
2024-09-10,10.71,10.745,9.6,10.26,357879.0,10.0348,5396.0,-0.0289672325249152,-0.2586705202312139,0.0316217363670963,-0.0253837878922543,11.558,11.3042,17.8742,22.7725,13.2278,54.5712,-138.9128,100.0,0.0,13.3036,11.558,9.8124,-2615575.7581,5033836.0
2024-08-26,13.53,14.39,13.35,13.84,376425.0,13.7218,5160.0,0.0259174577959038,0.2826691380908248,0.0381001156188738,0.0193466172381834,12.586,12.7908,83.7656,77.8334,88.6244,73.0249,141.167,0.0,100.0,14.1665,12.586,11.0055,-1877518.8031,6993112.0
2024-08-21,11.7,12.702,11.7,12.24,329017.0,12.2121,3287.0,0.0151829932994952,0.1558073654390936,0.0349717015957179,0.0148089634633543,11.576,11.6764,73.5137,67.3465,74.2156,58.0075,106.9076,40.0,100.0,12.5984,11.576,10.5536,-2151380.7778,6150639.0
