Date,Open,High,Low,Close,Volume,Volume Weighted Average,Transactions,Mean,Cumulative Return,STDDEV,Median,SMA,EMA,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,Real Upper Band,Real Middle Band,Real Lower Band,Chaikin A/D,OBV
2024-12-09,442.6,448.33,440.5,446.02,17082222.0,445.4444,318755.0,0.0067940595440769,0.0695923261390887,0.0093663287844287,0.0049079665861286,440.166,440.3856,90.3268,90.3518,88.4774,60.7044,78.9156,0.0,100.0,450.7418,440.166,429.5902,-942861061.1687,1673484215.0
2024-12-06,442.3,446.1,441.7703,443.57,17936304.0,443.6498,277174.0,0.0072420376906624,0.0743575459587762,0.009401903525161,0.0071478573190566,437.158,437.5683,90.6371,89.8807,86.5502,55.7941,97.0007,0.0,100.0,447.9165,437.158,426.3995,-950709526.7472,1654339827.0
2024-12-05,437.92,444.66,436.171,442.62,20802839.0,441.687,328701.0,0.0065965900040068,0.0674379815664127,0.0099359581752749,0.0071478573190566,433.136,434.5675,90.0916,87.0004,85.8142,50.3991,110.089,20.0,100.0,446.1074,433.136,420.1646,-947534947.0395,1635518825.0
2024-12-04,433.03,439.67,432.63,437.42,23888329.0,437.1989,350721.0,0.0048572853875327,0.0490901010252431,0.010370319739083,0.0027018516631881,429.21,430.5413,88.9135,82.0322,81.3435,44.1346,130.839,40.0,100.0,440.0266,429.21,418.3934,-958804294.4273,1613821050.0
2024-12-03,429.84,432.47,427.74,431.2,17100500.0,430.6945,268103.0,0.0039030617613005,0.0392217845133386,0.0098731556728288,0.0027018516631881,427.324,427.1019,81.9962,78.0876,73.2878,38.1879,108.4373,0.0,80.0,434.3977,427.324,420.2503,-968188378.1858,1587811621.0
2024-12-02,421.57,433.0,421.31,430.98,18092788.0,430.0384,334777.0,0.0040351478391495,0.0405937514681971,0.0098356491296524,0.0030619456242234,424.842,425.0528,75.1871,77.6506,72.9573,35.1571,115.4018,0.0,100.0,433.3061,424.842,416.3779,-976662236.8602,1569509634.0
2024-11-29,420.09,424.8849,417.8,423.46,15132529.0,422.3526,210494.0,-0.0005259595979607,-0.0060406913541938,0.01260104148446,0.0014712313401694,422.046,422.0892,77.0796,79.9873,59.1354,31.3685,21.1731,0.0,60.0,429.755,422.046,414.337,-989885954.2212,1549302411.0
2024-11-27,425.105,427.2299,422.02,422.99,17407455.0,423.9513,260938.0,-0.0002396133170594,-0.003197684811054,0.0126673496631335,0.0029029627446757,419.928,421.4038,80.6852,74.0246,58.0636,34.7849,73.7379,0.0,80.0,430.2839,419.928,409.5721,-999630720.4698,1533030490.0
2024-11-26,419.585,429.0414,418.85,427.99,22825574.0,425.8382,347024.0,0.0014416042611039,0.0137588256351293,0.0121418352114543,0.0041335830676944,418.2613,420.6108,82.197,61.0975,74.7473,28.014,149.4912,20.0,100.0,428.7905,418.2613,407.7321,-988124691.8252,1551362934.0
2024-11-25,418.38,421.08,414.85,418.79,24447471.0,417.864,313032.0,0.0004457273872574,0.0038800533065361,0.0107455326618182,0.0041335830676944,416.0536,416.9211,59.1916,43.5375,56.2378,19.5505,166.6667,40.0,100.0,420.1794,416.0536,411.9278,-1006743288.835,1527904045.0
2024-11-22,411.365,417.4,411.06,417.0,22803358.0,414.8945,284487.0,-0.0010556170571378,-0.0111272243730453,0.0111445919194743,0.0029029627446757,415.2808,415.9867,41.9038,33.17,50.6021,16.8675,95.3912,60.0,0.0,418.389,415.2808,412.1727,-1014077205.1271,1500212955.0
2024-11-21,419.5,419.78,410.2887,412.87,18154614.0,413.7322,335387.0,-0.0027352446216154,-0.0275721035187926,0.0106039168372294,-0.0012384204801588,414.7143,415.48,29.517,26.427,35.1984,20.9589,-42.2085,80.0,0.0,417.3608,414.7143,412.0678,-1035760648.0356,1475398329.0
2024-11-20,416.87,417.29,410.58,415.49,17202555.0,414.5215,285377.0,-0.0010549634802554,-0.0111618830025227,0.0115137853714676,0.0029029627446757,417.347,416.7851,28.0891,28.993,39.4559,26.0732,-69.415,100.0,0.0,426.2385,417.347,408.4555,-1026283433.4023,1496178491.0
