Date,Open,High,Low,Close,Volume,Volume Weighted Average,Transactions,Mean,Cumulative Return,STDDEV,Median,SMA,EMA,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,Real Upper Band,Real Middle Band,Real Lower Band,Chaikin A/D,OBV
2024-12-09,623.925,626.4,606.1701,613.57,10662201.0,614.5403,256977.0,0.009470013060213,0.0973459240977214,0.0166547995872823,0.0098360960466067,614.74,610.424,75.371,84.1792,65.9036,64.5731,36.3369,0.0,80.0,624.4878,614.74,604.9922,1398228810.5079,5603211267.0
2024-12-06,610.1,629.7899,608.53,623.77,16713573.0,622.1746,279507.0,0.0104037447285633,0.1077625246408209,0.015395033026782,0.0098360960466067,610.592,608.8511,86.9159,90.9521,84.0683,62.3806,99.9298,0.0,100.0,630.8192,610.592,590.3648,1401295775.9428,5614637282.0
2024-12-05,617.075,619.9,607.05,608.93,7926913.0,610.9205,184313.0,0.0075369899714421,0.0767612109209225,0.0151951436515005,0.0046034639796583,600.702,601.3916,90.2508,92.7775,76.5433,56.2618,63.8545,0.0,100.0,631.2223,600.702,570.1817,1393951102.1104,5597701779.0
2024-12-04,612.96,617.78,605.1,613.78,12862732.0,611.9273,271458.0,0.009116710035654,0.0939065034129997,0.0143029341910777,0.0084452136863862,592.756,597.6224,95.6895,90.3716,87.3277,49.7761,95.8284,20.0,100.0,630.4213,592.756,555.0907,1399667694.8793,5605782991.0
2024-12-03,595.0,614.2,591.2501,613.65,14637296.0,605.736,295771.0,0.0103022352779502,0.1068722943722941,0.0140039022383489,0.0098360960466067,584.708,589.5436,92.3921,85.0932,87.2893,41.9563,134.5062,0.0,100.0,617.8952,584.708,551.5208,1394243247.8698,5591085985.0
2024-12-02,577.5,594.5,575.57,592.83,11574680.0,589.6253,244917.0,0.0068480206531492,0.0699357493502745,0.0114910445008344,0.0084452136863862,575.0,577.4904,83.0333,79.31,79.222,32.6343,166.6667,0.0,100.0,594.0148,575.0,555.9852,1380050591.5757,5576178821.0
2024-11-29,569.0,578.46,566.9,574.32,6731412.0,574.359,129975.0,-0.0003738123828122,-0.0049206459214082,0.0153244089981834,0.0042364402438558,568.262,569.8206,79.8543,74.1281,62.1245,24.7532,79.3209,0.0,100.0,579.5255,568.262,556.9985,1369737661.6291,5563656450.0
2024-11-27,574.89,574.98,564.1001,569.2,6829965.0,568.5521,143918.0,-0.0017629756367439,-0.0186206896551722,0.0150391368680836,-0.0018596981643791,566.016,567.5709,75.0423,67.074,53.6924,22.9579,63.3516,20.0,80.0,575.9522,566.016,556.0798,1367714469.3869,5556525931.0
2024-11-26,566.0,577.5,565.2,573.54,10239385.0,572.9366,191587.0,-0.0018304568773293,-0.0192879860469888,0.0150665175835744,-0.0018596981643791,565.28,566.7563,67.4877,59.6339,63.2396,23.86,149.5068,40.0,100.0,574.6953,565.28,555.8647,1368164553.9522,5563726159.0
2024-11-25,562.1,572.5915,556.39,565.11,12918074.0,564.2104,212266.0,-0.0030392654822958,-0.0309686712279437,0.0141301411569483,-0.0018596981643791,562.79,563.3645,58.692,52.7987,49.2045,23.5243,127.9866,60.0,100.0,567.6181,562.79,557.9619,1364476611.7571,5553369609.0
